#id	length	GC	avg.qual	sample
m84073_231201_024147_s2/237114644/ccs	949	38.78	40.00	5B
m84073_231201_024147_s2/259724585/ccs	949	38.88	40.00	5B
m84073_231201_024147_s2/248648662/ccs	349	42.41	40.00	5B
m84073_231201_024147_s2/254349686/ccs	949	38.78	40.00	5B
m84073_231201_024147_s2/254414476/ccs	949	38.88	40.00	5B
m84073_231201_024147_s2/254350592/ccs	949	38.88	40.00	5B
m84073_231201_024147_s2/254416490/ccs	949	38.78	40.00	5B
m84073_231201_024147_s2/237179523/ccs	977	53.33	40.00	5B
m84073_231201_024147_s2/259789990/ccs	1225	51.02	40.00	5B
m84073_231201_024147_s2/242750532/ccs	949	38.88	40.00	5B
m84073_231201_024147_s2/242749910/ccs	949	38.88	40.00	5B
m84073_231201_024147_s2/265490740/ccs	951	38.80	40.00	5B
m84073_231201_024147_s2/265490635/ccs	949	38.78	40.00	5B
m84073_231201_024147_s2/237246041/ccs	949	38.88	40.00	5B
m84073_231201_024147_s2/254479463/ccs	949	38.78	40.00	5B
m84073_231201_024147_s2/237310481/ccs	349	42.41	40.00	5B
m84073_231201_024147_s2/242816268/ccs	949	38.88	40.00	5B
m84073_231201_024147_s2/237310625/ccs	949	38.88	40.00	5B
m84073_231201_024147_s2/265557002/ccs	1228	51.06	39.79	5B
m84073_231201_024147_s2/265620839/ccs	330	44.24	40.00	5B
m84073_231201_024147_s2/242879652/ccs	349	42.41	40.00	5B
m84073_231201_024147_s2/265556169/ccs	949	38.88	40.00	5B
m84073_231201_024147_s2/265557132/ccs	950	38.84	40.00	5B
m84073_231201_024147_s2/248843927/ccs	949	38.78	40.00	5B
